Account,Source Account,Text,Time,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
BBC News (World),-,Top Macron aide Alexis Kohler faces French corruption inquiry https://t.co/YAQ5xZQffp,2018-06-04 08:05:23-05:00,0.2023,0.167,0.0,0.833,38
BBC News (World),BBC News (UK),"RT @BBCNews: Meet the devoted husband who had make-up lessons to help his wife after her sight started to deteriorate ❤️💄

https://t.co/bv7…",2018-06-04 07:46:19-05:00,0.6597,0.213,0.0,0.787,39
BBC News (World),-,New Zealand sex work activist Catherine Healy made a dame https://t.co/09HnaRNnYA,2018-06-04 07:28:26-05:00,0.0,0.0,0.0,1.0,40
BBC News (World),-,Tunisia footballer 'fakes injury' to break Ramadan fast https://t.co/pFGLDzf4S6,2018-06-04 07:28:26-05:00,-0.6808,0.0,0.444,0.556,41
BBC News (World),-,Japan's finance minister returns salary over land scandal https://t.co/uG3lYd0f9G,2018-06-04 07:28:26-05:00,-0.4404,0.0,0.266,0.734,42
BBC News (World),BBC Sport,"RT @BBCSport: Vincent Kompany is in, but Christian Benteke missed out on a place in Belgium's World Cup squad.

👉 https://t.co/CoLJsn56Wm h…",2018-06-04 07:17:13-05:00,-0.4215,0.0,0.109,0.891,43
BBC News (World),-,Facebook protests NYT's privacy breach claim https://t.co/EkHSrBRYrX,2018-06-04 06:58:25-05:00,-0.2263,0.0,0.241,0.759,44
BBC News (World),-,FBI agent accidentally shoots customer in leg during backflip move https://t.co/sSOlZVYozc,2018-06-04 06:37:48-05:00,-0.34,0.0,0.194,0.806,45
BBC News (World),BBC Breaking News,RT @BBCBreaking: Jordan's Prime Minister Hani Mulki resigns after several days of protests against tax rises and austerity measures https:/…,2018-06-04 06:37:46-05:00,-0.4939,0.0,0.189,0.811,46
BBC News (World),BBC Sport,"RT @BBCSport: Mohamed Salah has been named in Egypt's final 23-man squad despite his shoulder injury.

https://t.co/Knpv2Udauu https://t.co…",2018-06-04 06:33:26-05:00,0.3252,0.121,0.0,0.879,47
BBC News (World),-,"One is a former US president, the other is a bestselling author

@BillClinton and @JP_Books team up for thriller ab… https://t.co/X2Fl2XdR7P",2018-06-04 06:21:34-05:00,0.1027,0.072,0.0,0.928,48
BBC News (World),-,"""I think my family was buried""

Survivor explains how she escaped Guatemala's most violent volcano eruption for mor… https://t.co/wYPJcdh0Vf",2018-06-04 05:58:01-05:00,-0.4005,0.106,0.177,0.718,49
BBC News (World),-,India's 'dancing uncle' who shot to viral fame https://t.co/PTADnjMGna,2018-06-04 05:37:33-05:00,0.4404,0.266,0.0,0.734,50
BBC News (World),BBC World Service,RT @bbcworldservice: It's the most violent eruption of Guatemala’s Fuego volcano in more than 40 years. https://t.co/pYv3IYJep3,2018-06-04 05:35:35-05:00,-0.6361,0.0,0.208,0.792,51
BBC News (World),-,West Ham manager Pellegrini 'mugged at gunpoint' in Chile https://t.co/JjS7sGFItI,2018-06-04 05:25:46-05:00,0.0,0.0,0.0,1.0,52
BBC News (World),-,GM settles self-driving legal action with California biker https://t.co/jXJzvMMamN,2018-06-04 05:23:14-05:00,0.128,0.158,0.0,0.842,53
BBC News (World),-,New Zealand hire bike found down volcano crater https://t.co/fkuJDJ5HVb,2018-06-04 05:13:46-05:00,0.0,0.0,0.0,1.0,54
BBC News (World),-,German anger over AfD chief's 'Nazi era just bird poo' remark https://t.co/XFVVbQAbEK,2018-06-04 05:08:54-05:00,-0.5719,0.0,0.252,0.748,55
BBC News (World),-,Does Jurassic Park make scientific sense? https://t.co/kl5LjqTQfy,2018-06-04 05:02:03-05:00,0.0,0.0,0.0,1.0,56
BBC News (World),-,"Richard Grenell, US envoy to Germany, wants to 'empower' Europe's right https://t.co/zBaYI2JTIL",2018-06-04 04:41:16-05:00,0.0,0.0,0.0,1.0,57
BBC News (World),BBC Business,"RT @BBCBusiness: ""When it's ticking for the first time, it's magic"". How has Philippe Dufour managed to keep the Swiss tradition of watch m…",2018-06-04 04:24:49-05:00,0.0,0.0,0.0,1.0,58
BBC News (World),-,Airlines slash profit forecast over rising costs https://t.co/GXXDl1NP0s,2018-06-04 03:30:27-05:00,0.2023,0.264,0.191,0.545,59
BBC News (World),-,Why Bill Clinton has written a thriller novel with James Patterson https://t.co/HWiz2tukM7,2018-06-04 03:00:18-05:00,0.4019,0.291,0.0,0.709,60
BBC News (World),-,Philippine President Duterte condemned for kissing overseas worker https://t.co/nHu5cyxzpZ,2018-06-04 02:55:42-05:00,0.2023,0.272,0.213,0.515,61
BBC News (World),Sally Bundock,RT @SallyBundockBBC: Check out this new tech to counter food waste - how much do you throw away? Are you changing your behaviour to cut dow…,2018-06-04 02:17:55-05:00,-0.5994,0.0,0.176,0.824,62
BBC News (World),-,Colourism: Do light-skinned black women have it easier in showbiz? https://t.co/JrSURgL4St,2018-06-04 01:26:53-05:00,0.4215,0.219,0.0,0.781,63
BBC News (World),-,Volcano survivor says her family was buried https://t.co/kQuJ0Vcdlh,2018-06-03 23:12:41-05:00,0.3612,0.263,0.0,0.737,64
BBC News (World),-,Australian bank offers to pay record fine https://t.co/X54adKAeIy,2018-06-03 19:51:09-05:00,0.1027,0.196,0.152,0.652,65
BBC News (World),-,How to inspect a nuclear energy site https://t.co/zA7yYzF0nu,2018-06-03 18:48:56-05:00,0.2732,0.259,0.0,0.741,66
BBC News (World),-,Guatemala volcano: Several dead as Fuego volcano erupts https://t.co/EKlhDpygr3,2018-06-03 18:44:28-05:00,-0.6486,0.0,0.35,0.65,67
BBC News (World),-,Shipwrecks: Who owns the treasure hidden under the sea? https://t.co/Z42CdGcIiu,2018-06-03 18:37:34-05:00,0.296,0.196,0.0,0.804,68
BBC News (World),-,Gender inequality: The simple promise that could get more women into power https://t.co/kR7eklV2Gd,2018-06-03 18:37:34-05:00,0.3182,0.161,0.0,0.839,69
BBC News (World),-,World Cup 2018: The volunteer who wants his city cleaner for the championship https://t.co/6wAOJGP9E1,2018-06-03 18:14:51-05:00,0.5574,0.277,0.0,0.723,70
BBC News (World),-,My 84-year-old husband now does my make-up https://t.co/yB5hq7Opbm,2018-06-03 18:12:35-05:00,0.0,0.0,0.0,1.0,71
BBC News (World),-,Why South African children are drowning in toilets https://t.co/MM85mjFJo0,2018-06-03 18:12:34-05:00,0.0,0.0,0.0,1.0,72
BBC News (World),-,The Swiss master watchmaker running out of time https://t.co/yvy00oJpVp,2018-06-03 18:12:34-05:00,0.0,0.0,0.0,1.0,73
BBC News (World),-,'I was looking for my mother but found my twin instead' https://t.co/jb8mzMl6IH,2018-06-03 18:10:15-05:00,0.0,0.0,0.0,1.0,74
BBC News (World),-,San Diego marathon: 'Active shooter arrested' https://t.co/oZMq4ZQDCS,2018-06-03 15:32:04-05:00,-0.1027,0.25,0.287,0.463,75
BBC News (World),-,Dancing FBI agent drops gun during backflip and shoots man in leg https://t.co/Wpiw9CMX2B,2018-06-03 14:45:40-05:00,-0.34,0.0,0.167,0.833,76
